sample_name	Enviroment	Group	Assay Type	AvgSpotLen	bacterial_metagenome_source	Bases	batch_id	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	GEO_Accession (exp)	host_organism	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Mouse_ID	Mouse_Sex	Organism	Platform	ReleaseDate	Sample Name	source_name	SRA Study
SRR11393730	Pro-survival	Broad Institute	OTHER	598	feces	116873877	B19-0033	PRJNA614503	SAMN14428223	59492729	GEO	public	"fastq,sra"	s3	s3.us-east-1	SRX7972553	GSM4426016	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Broad-1	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426016	Mouse feces	SRP253738
SRR11393731	Pro-survival	Broad Institute	OTHER	598	feces	117622984	B19-0033	PRJNA614503	SAMN14428208	59786528	GEO	public	"sra,fastq"	s3	s3.us-east-1	SRX7972554	GSM4426017	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Broad-2	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426017	Mouse feces	SRP253738
SRR11393732	Pro-survival	Broad Institute	OTHER	599	feces	90404406	B19-0033	PRJNA614503	SAMN14428207	50035316	GEO	public	"sra,fastq"	s3	s3.us-east-1	SRX7972587	GSM4426018	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Broad-3	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426018	Mouse feces	SRP253738
SRR11393733	Pro-survival	Broad Institute	OTHER	599	feces	147938938	B19-0033	PRJNA614503	SAMN14428206	74134984	GEO	public	"sra,fastq"	s3	s3.us-east-1	SRX7972588	GSM4426019	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Broad-4	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426019	Mouse feces	SRP253738
SRR11393734	Pro-survival	Broad Institute	OTHER	599	feces	146645560	B19-0033	PRJNA614503	SAMN14428205	74819190	GEO	public	"fastq,sra"	s3	s3.us-east-1	SRX7972589	GSM4426020	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Broad-5	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426020	Mouse feces	SRP253738
SRR11393735	Pro-survival	Jackson Labs	OTHER	599	feces	152024020	B19-0033	PRJNA614503	SAMN14428204	77538539	GEO	public	"fastq,sra"	"s3,ncbi"	"s3.us-east-1,ncbi.public"	SRX7972590	GSM4426021	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Jackson Labs-1	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426021	Mouse feces	SRP253738
SRR11393736	Pro-survival	Jackson Labs	OTHER	599	feces	149571388	B19-0033	PRJNA614503	SAMN14428203	76784573	GEO	public	"fastq,sra"	s3	s3.us-east-1	SRX7972591	GSM4426022	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Jackson Labs-9	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426022	Mouse feces	SRP253738
SRR11393737	Pro-survival	Jackson Labs	OTHER	599	feces	168110294	B19-0033	PRJNA614503	SAMN14428236	85701394	GEO	public	"fastq,sra"	"ncbi,s3"	"ncbi.public,s3.us-east-1"	SRX7972592	GSM4426023	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Jackson Labs-15	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426023	Mouse feces	SRP253738
SRR11393738	Pro-survival	Jackson Labs	OTHER	599	feces	132700067	B19-0033	PRJNA614503	SAMN14428235	68857671	GEO	public	"sra,fastq"	s3	s3.us-east-1	SRX7972593	GSM4426024	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Jackson Labs-16	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426024	Mouse feces	SRP253738
SRR11393739	Pro-survival	Jackson Labs	OTHER	598	feces	164097215	B19-0033	PRJNA614503	SAMN14428234	84968988	GEO	public	"sra,fastq"	s3	s3.us-east-1	SRX7972594	GSM4426025	C9orf72 loss of function mouse	Illumina MiSeq	SINGLE	other	GENOMIC	Jackson Labs-10	M	feces metagenome	ILLUMINA	2020-03-25T00:00:00Z	GSM4426025	Mouse feces	SRP253738
